id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Iron Horizon,Grave Signal,metal,angry,0.95,168,0.32,0.55,0.03
12,Velvet Hours,Marlo James,r&b,sensual,0.55,88,0.68,0.75,0.30
13,Autumn Reverie,Elena Voss,classical,melancholy,0.25,66,0.35,0.20,0.95
14,Dust Road Home,Cole Ambry,folk,nostalgic,0.45,96,0.58,0.48,0.80
15,Neon Pulse,Kitra,edm,euphoric,0.97,128,0.88,0.91,0.02
16,Concrete Dreams,MC Solstice,hip-hop,confident,0.68,94,0.62,0.85,0.12
17,Rainy Window Blues,Sonny Teague,blues,sad,0.30,70,0.28,0.35,0.75
18,Golden Hour Drift,Wilder Fields,folk,peaceful,0.38,84,0.72,0.50,0.83
